Date,Open,High,Low,Close,Adj Close,Volume
08/04/2014,75.027145,75.160004,74.099998,74.777145,66.407692,60972100
09/04/2014,74.662857,75.784286,74.574287,75.760002,67.280518,51542400
10/04/2014,75.811432,76.034286,74.738571,74.78286,66.41275,59913000
11/04/2014,74.14286,74.690002,73.877144,74.230003,65.921761,67929400
14/04/2014,74.557144,74.594284,73.887146,74.525711,66.184387,51418500
15/04/2014,74.324287,74.519997,73.047142,73.994286,65.71244,66622500
16/04/2014,74.007141,74.441429,73.44857,74.144287,65.84565,53691400
17/04/2014,74.285713,75.394287,74.171425,74.991432,66.597977,71083600
21/04/2014,75.048569,76.019997,74.851425,75.881432,67.388367,45637200
22/04/2014,75.472855,75.975716,75.214287,75.957146,67.455612,50640800
23/04/2014,75.580002,75.875717,74.921425,74.964287,66.573868,98735000
24/04/2014,81.172859,81.428574,80.104286,81.110001,72.031723,189977900
25/04/2014,80.647141,81.71286,80.565712,81.705711,72.56076,97568800
28/04/2014,81.828575,85.10714,81.792854,84.870003,75.370872,167371400
29/04/2014,84.82,85.139999,84.215714,84.618568,75.147606,84344400
30/04/2014,84.662857,85.632858,84.257141,84.298569,74.863411,114160200
01/05/2014,84.571426,84.971428,83.765717,84.497147,75.039764,61012000
02/05/2014,84.620003,84.885712,84.244286,84.654289,75.179306,47878600
05/05/2014,84.305717,85.85714,84.285713,85.851425,76.24247,71766800
06/05/2014,85.971428,86.344284,84.915718,84.915718,75.411484,93641100
07/05/2014,85.035713,85.327141,83.961426,84.618568,75.147606,70716100
08/05/2014,84.035713,84.915718,83.771431,83.998573,77.614685,57574300
09/05/2014,83.505714,83.75,82.904289,83.648575,77.29129,72899400
12/05/2014,83.927139,84.808571,83.914284,84.690002,78.253563,53302200
13/05/2014,84.571426,84.934288,84.385712,84.822861,78.37632,39934300
14/05/2014,84.632858,85.342857,84.534286,84.83857,78.390823,41601000
15/05/2014,84.957146,85.228569,84.005714,84.117142,77.724251,57711500
16/05/2014,84.089996,85.361427,83.628571,85.358574,78.871315,69064100
19/05/2014,85.407143,86.761429,85.332855,86.370003,79.80587,79438800
20/05/2014,86.358574,86.628571,85.818573,86.387146,79.821709,58709000
21/05/2014,86.261429,86.671425,86.008568,86.615715,80.032921,49214900
22/05/2014,86.657143,87.121429,86.300003,86.752853,80.159637,50190000
23/05/2014,86.75,87.818573,86.638573,87.732857,81.065155,58052400
27/05/2014,87.982857,89.408569,87.947144,89.375717,82.583153,87216500
28/05/2014,89.431427,89.975716,89.111427,89.144287,82.369324,78870400
29/05/2014,89.692856,90.98143,89.681427,90.76857,83.870155,94118500
30/05/2014,91.139999,92.024284,89.842857,90.428574,83.556007,141005200
02/06/2014,90.565712,90.690002,88.928574,89.807144,82.981796,92337700
03/06/2014,89.779999,91.248573,89.75,91.077141,84.155273,73177300
04/06/2014,91.062859,92.555717,90.872856,92.117142,85.116241,83870500
05/06/2014,92.314285,92.767143,91.80143,92.478569,85.450195,75951400
06/06/2014,92.842857,93.03714,92.067146,92.224289,85.215256,87484600
09/06/2014,92.699997,93.879997,91.75,93.699997,86.578804,75415000
10/06/2014,94.730003,95.050003,93.57,94.25,87.087006,62777000
11/06/2014,94.129997,94.760002,93.470001,93.860001,86.726639,45681000
12/06/2014,94.040001,94.120003,91.900002,92.290001,85.275955,54749000
13/06/2014,92.199997,92.440002,90.879997,91.279999,84.34272,54525000
16/06/2014,91.510002,92.75,91.449997,92.199997,85.192787,35561000
17/06/2014,92.309998,92.699997,91.800003,92.080002,85.081917,29726000
18/06/2014,92.269997,92.290001,91.349998,92.18,85.174324,33514000
19/06/2014,92.290001,92.300003,91.339996,91.860001,84.878632,35528000
20/06/2014,91.849998,92.550003,90.900002,90.910004,84.000832,100898000
23/06/2014,91.32,91.620003,90.599998,90.830002,83.926903,43694000
24/06/2014,90.75,91.739998,90.190002,90.279999,83.418724,39036000
25/06/2014,90.209999,90.699997,89.650002,90.360001,83.492638,36869000
26/06/2014,90.370003,91.050003,89.800003,90.900002,83.9916,32629000
27/06/2014,90.82,92,90.769997,91.980003,84.989525,64029000
30/06/2014,92.099998,93.730003,92.089996,92.93,85.86731,49482300
01/07/2014,93.519997,94.07,93.129997,93.519997,86.412468,38223000
02/07/2014,93.870003,94.059998,93.089996,93.480003,86.375519,28465000
03/07/2014,93.669998,94.099998,93.199997,94.029999,86.883705,22891800
07/07/2014,94.139999,95.989998,94.099998,95.970001,88.6763,56468000
08/07/2014,96.269997,96.800003,93.919998,95.349998,88.103394,65222000
09/07/2014,95.440002,95.949997,94.760002,95.389999,88.14035,36436000
10/07/2014,93.760002,95.550003,93.519997,95.040001,87.816956,39686000
11/07/2014,95.360001,95.889999,94.860001,95.220001,87.983269,34018000
14/07/2014,95.860001,96.889999,95.650002,96.449997,89.119789,42810000
15/07/2014,96.800003,96.849998,95.029999,95.32,88.075691,45477900
16/07/2014,96.970001,97.099998,94.739998,94.779999,87.576706,53396300
17/07/2014,95.029999,95.279999,92.57,93.089996,86.01516,57298000
18/07/2014,93.620003,94.739998,93.019997,94.43,87.253319,49988000
21/07/2014,94.989998,95,93.720001,93.940002,86.800575,39079000
22/07/2014,94.68,94.889999,94.120003,94.720001,87.521286,55197000
23/07/2014,95.419998,97.879997,95.169998,97.190002,89.803558,92918000
24/07/2014,97.040001,97.32,96.419998,97.029999,89.655731,45729000
25/07/2014,96.849998,97.839996,96.639999,97.669998,90.247078,43469000
28/07/2014,97.82,99.239998,97.550003,99.019997,91.494461,55318000
29/07/2014,99.330002,99.440002,98.25,98.379997,90.903114,43143000
30/07/2014,98.440002,98.699997,97.669998,98.150002,90.69059,33010000
31/07/2014,97.160004,97.449997,95.330002,95.599998,88.334381,56843000
01/08/2014,94.900002,96.620003,94.809998,96.129997,88.824104,48511000
04/08/2014,96.370003,96.580002,95.169998,95.589996,88.325157,39958000
05/08/2014,95.360001,95.68,94.360001,95.120003,87.890884,55933000
06/08/2014,94.75,95.480003,94.709999,94.959999,87.743019,38558000
07/08/2014,94.93,95.949997,94.099998,94.480003,87.733749,46711000
08/08/2014,94.260002,94.82,93.279999,94.739998,87.975182,41865000
11/08/2014,95.269997,96.080002,94.839996,95.989998,89.135925,36585000
12/08/2014,96.040001,96.879997,95.610001,95.970001,89.117371,33795000
13/08/2014,96.150002,97.239998,96.040001,97.239998,90.296669,31916000
14/08/2014,97.330002,97.57,96.800003,97.5,90.538109,28116000
15/08/2014,97.900002,98.190002,96.860001,97.980003,90.983833,48951000
18/08/2014,98.489998,99.370003,97.980003,99.160004,92.079597,47572000
19/08/2014,99.410004,100.68,99.32,100.529999,93.351746,69399000
20/08/2014,100.440002,101.089996,99.949997,100.57,93.388893,52699000
21/08/2014,100.57,100.940002,100.110001,100.580002,93.398186,33478000
22/08/2014,100.290001,101.470001,100.190002,101.32,94.085365,44184000
25/08/2014,101.790001,102.169998,101.279999,101.540001,94.289635,40270000
26/08/2014,101.419998,101.5,100.860001,100.889999,93.686043,33152000
27/08/2014,101.019997,102.57,100.699997,102.129997,94.837502,52369000
28/08/2014,101.589996,102.779999,101.559998,102.25,94.948952,68460000
29/08/2014,102.860001,102.900002,102.199997,102.5,95.181084,44595000
02/09/2014,103.059998,103.739998,102.720001,103.300003,95.923973,53564000
03/09/2014,103.099998,103.199997,98.580002,98.940002,91.875275,125421000
04/09/2014,98.849998,100.089996,97.790001,98.120003,91.113846,85718000
05/09/2014,98.800003,99.389999,98.309998,98.970001,91.903145,58457000
08/09/2014,99.300003,99.309998,98.050003,98.360001,91.336708,46356700
09/09/2014,99.080002,103.080002,96.139999,97.989998,90.993126,189846300
10/09/2014,98.010002,101.110001,97.760002,101,93.788208,100869600
11/09/2014,100.410004,101.440002,99.620003,101.43,94.187492,62353100
12/09/2014,101.209999,102.190002,101.080002,101.660004,94.40107,62626100
15/09/2014,102.809998,103.050003,101.440002,101.629997,94.373207,61316500
16/09/2014,99.800003,101.260002,98.889999,100.860001,93.658188,66908100
17/09/2014,101.269997,101.800003,100.589996,101.580002,94.32679,60926500
18/09/2014,101.93,102.349998,101.559998,101.790001,94.521797,37299400
19/09/2014,102.290001,102.349998,100.5,100.959999,93.751045,70902400
22/09/2014,101.800003,102.139999,100.580002,101.059998,93.843903,52788400
23/09/2014,100.599998,102.940002,100.540001,102.639999,95.311096,63402200
24/09/2014,102.160004,102.849998,101.199997,101.75,94.484642,60171800
25/09/2014,100.510002,100.709999,97.720001,97.870003,90.881699,100092000
26/09/2014,98.529999,100.75,98.400002,100.75,93.556053,62370500
29/09/2014,98.650002,100.440002,98.629997,100.110001,92.961739,49766300
30/09/2014,100.809998,101.540001,100.529999,100.75,93.556053,55264100
01/10/2014,100.589996,100.690002,98.699997,99.18,92.098152,51491300
02/10/2014,99.269997,100.220001,98.040001,99.900002,92.766754,47757800
03/10/2014,99.440002,100.209999,99.040001,99.620003,92.50676,43469600
06/10/2014,99.949997,100.650002,99.419998,99.620003,92.50676,37051200
07/10/2014,99.43,100.120003,98.730003,98.75,91.698868,42094200
08/10/2014,98.760002,101.110001,98.309998,100.800003,93.602486,57404700
09/10/2014,101.540001,102.379997,100.610001,101.019997,93.80677,77376500
10/10/2014,100.690002,102.029999,100.300003,100.730003,93.537476,66331600
13/10/2014,101.330002,101.779999,99.809998,99.809998,92.683167,53583400
14/10/2014,100.389999,100.519997,98.57,98.75,91.698868,63688600
15/10/2014,97.970001,99.150002,95.18,97.540001,90.575249,100933600
16/10/2014,95.550003,97.720001,95.410004,96.260002,89.38665,72154500
17/10/2014,97.5,99,96.809998,97.669998,90.695969,68179700
20/10/2014,98.32,99.959999,98.220001,99.760002,92.636742,77517300
21/10/2014,103.019997,103.019997,101.269997,102.470001,95.153221,94623900
22/10/2014,102.839996,104.110001,102.599998,102.989998,95.636108,68263100
23/10/2014,104.080002,105.050003,103.629997,104.830002,97.344711,71074700
24/10/2014,105.18,105.489998,104.529999,105.220001,97.706879,47053900
27/10/2014,104.849998,105.480003,104.699997,105.110001,97.604729,34187700
28/10/2014,105.400002,106.739998,105.349998,106.739998,99.118332,48060900
29/10/2014,106.650002,107.370003,106.360001,107.339996,99.675484,52687900
30/10/2014,106.959999,107.349998,105.900002,106.980003,99.341202,40654800
31/10/2014,108.010002,108.040001,107.209999,108,100.288353,44639300
03/11/2014,108.220001,110.300003,108.010002,109.400002,101.588409,52282600
04/11/2014,109.360001,109.489998,107.720001,108.599998,100.845535,41574400
05/11/2014,109.099998,109.300003,108.129997,108.860001,101.08696,37435900
06/11/2014,108.599998,108.790001,107.800003,108.699997,101.376068,34968500
07/11/2014,108.75,109.32,108.550003,109.010002,101.665161,33691500
10/11/2014,109.019997,109.330002,108.669998,108.830002,101.497307,27195500
11/11/2014,108.699997,109.75,108.400002,109.699997,102.308693,27442300
12/11/2014,109.379997,111.43,109.370003,111.25,103.754272,46942400
